id,title,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
5856,"NUXEHuile Prodigieuse ""Florale ""100ML","135,000TND",135.0,,,0.0,https://beautystore.tn/soin-spécifique-corps-anti-vergetures/5856-huile-prodigieuse-florale-100ml-3264680015946.html,https://beautystore.tn/24965-home_default/huile-prodigieuse-florale-100ml.jpg,https://beautystore.tn/24965-large_default/huile-prodigieuse-florale-100ml.jpg,"L'Huile Prodigieuse® Florale habille tous les types de peaux d‘un irrésistible éclat satiné. Elle offre une action protectrice anti-pollution, atténue l'apparence des vergetures, apporte une hydratation longue durée et renforce la fonction barrière de la peau. Vos cheveux sont nourris, réparés et souples.",Standard,2025-11-24
5842,VICHYCrème Dépilatoire Dermo Tolérance 150ML,"52,900TND",52.9,,,0.0,https://beautystore.tn/soin-corps/5842-crème-dépilatoire-dermo-tolérance-150ml-3337871305802.html,https://beautystore.tn/24901-home_default/crème-dépilatoire-dermo-tolérance-150ml.jpg,https://beautystore.tn/24901-large_default/crème-dépilatoire-dermo-tolérance-150ml.jpg,"la Crème dépilatoire Dermo Tolérance de Vichy est une crème douce pour peaux sensibles. Enrichie en aloe vera et huile d’amande douce. Élimine les poils sans agresser, hydrate et apaise.",Standard,2025-11-24
5790,"ADERMAGel moussant nettoyant purifiant ""BIOLOGY AC"" 200ML","49,900TND",49.9,,,0.0,https://beautystore.tn/demaquillant-nettoyant/5790-gel-moussant-nettoyant-purifiant-biology-ac-200ml-3282770152999.html,https://beautystore.tn/24688-home_default/gel-moussant-nettoyant-purifiant-biology-ac-200ml.jpg,https://beautystore.tn/24688-large_default/gel-moussant-nettoyant-purifiant-biology-ac-200ml.jpg,"Le Gel Moussant Nettoyant Purifiant BIOLOGY AC en format 200ML est spécialement conçu pour les peaux grasses à tendance acnéique. Certifié BIO et composé à 99% d’ingrédients d’origine naturelle, il nettoie la peau en douceur, désincruste les pores et élimine les impuretés, tout en respectant l’équilibre cutané.",Standard,2025-11-24
5789,"ADERMAHuile lavante émolliente anti-démangeaisons ""EXOMEGA CONTROL"" 200ML","36,900TND",36.9,,,0.0,https://beautystore.tn/demaquillant-nettoyant/5789-huile-lavante-émolliente-anti-démangeaisons-exomega-control-200ml-3282770393842.html,https://beautystore.tn/24938-home_default/huile-lavante-émolliente-anti-démangeaisons-exomega-control-200ml.jpg,https://beautystore.tn/24938-large_default/huile-lavante-émolliente-anti-démangeaisons-exomega-control-200ml.jpg,"L’Huile Lavante Émolliente EXOMEGA CONTROL en format 200ML est idéale pour le nettoyage quotidien des peaux sèches sujettes à l’eczéma atopique. Grâce à 91% d’ingrédients d’origine naturelle, elle nettoie en douceur, apaise les démangeaisons et renforce la barrière cutanée dès la naissance. Sa formule sans savon et sans ingrédient d’origine animale respecte les peaux les plus fragiles et ne pique pas les yeux.",Standard,2025-11-24
5787,"ADERMAHuile lavante émolliente anti-démangeaisons ""EXOMEGA CONTROL"" 500ML","69,900TND",69.9,,,0.0,https://beautystore.tn/demaquillant-nettoyant/5787-huile-lavante-émolliente-anti-démangeaisons-exomega-control-500ml-3282770393859.html,https://beautystore.tn/24668-home_default/huile-lavante-émolliente-anti-démangeaisons-exomega-control-500ml.jpg,https://beautystore.tn/24668-large_default/huile-lavante-émolliente-anti-démangeaisons-exomega-control-500ml.jpg,"L’Huile Lavante Émolliente EXOMEGA CONTROL est un soin d’hygiène anti-démangeaisons conçu pour les peaux sèches à tendance atopique, dès la naissance. Sa formule à 91% d’ingrédients d’origine naturelle nettoie en douceur, nourrit, apaise et protège la peau fragile contre le dessèchement. Sans savon et sans ingrédient d’origine animale, elle respecte l’équilibre cutané et ne pique pas les yeux",Standard,2025-11-24
5775,"ADERMACrème réparatrice apaisante anti-marques ""EPITHELIALE A.H ULTRA"" 40ML","49,900TND",49.9,,,0.0,https://beautystore.tn/soin-hydratant-specifique/5775-crème-réparatrice-apaisante-anti-marques-epitheliale-ah-ultra-40ml-3282770209495.html,https://beautystore.tn/24596-home_default/crème-réparatrice-apaisante-anti-marques-epitheliale-ah-ultra-40ml.jpg,https://beautystore.tn/24596-large_default/crème-réparatrice-apaisante-anti-marques-epitheliale-ah-ultra-40ml.jpg,"La Crème Réparatrice Apaisante EPITHELIALE A.H ULTRA est un soin dermatologique conçu pour hydrater, apaiser et favoriser la réparation des peaux fragilisées après des actes esthétiques, dermatologiques superficiels ou tatouages. Grâce au complexe breveté CICAHYALUMIDE , elle réduit l’apparence des marques cutanées tout en offrant un confort immédiat. Contenance : 40ml",Standard,2025-11-24
5774,"ADERMACICA Crème réparatrice assainissante ""DERMALIBOUR+"" 50ML","35,900TND",35.9,,,0.0,https://beautystore.tn/soin-hydratant-specifique/5774-cica-crème-réparatrice-assainissante-dermalibour-50ml-3282770144291.html,https://beautystore.tn/24689-home_default/cica-crème-réparatrice-assainissante-dermalibour-50ml.jpg,https://beautystore.tn/24689-large_default/cica-crème-réparatrice-assainissante-dermalibour-50ml.jpg,"La CICA Crème Réparatrice Assainissante Dermalibour+ est un soin apaisant et réparateur conçu pour les peaux irritées de toute la famille, dès la naissance. Avec une formule 100% d’origine naturelle, enrichie en Extrait de Plantules d’Avoine Rhealba® et en complexe cuivre-zinc, elle assainit, répare et apaise immédiatement les zones fragilisées. Sa texture invisible et non grasse s’absorbe rapidement sans laisser de traces blanches.",Standard,2025-11-24
5773,"ADERMACICA Gel moussant assainissant ""DERMALIBOUR+ "" 200ML","49,900TND",49.9,,,0.0,https://beautystore.tn/demaquillant-nettoyant/5773-cica-gel-moussant-assainissant-dermalibour--200ml-3282770145021.html,https://beautystore.tn/24583-home_default/cica-gel-moussant-assainissant-dermalibour--200ml.jpg,https://beautystore.tn/24583-large_default/cica-gel-moussant-assainissant-dermalibour--200ml.jpg,"Le CICA Gel Moussant Assainissant Dermalibour+ de la marque ADERMA est un soin lavant doux et purifiant, spécialement conçu pour les peaux irritées et fragilisées de toute la famille. Grâce à son complexe cuivre-zinc et à l’Extrait de Plantules d’Avoine Rhealba, il nettoie en douceur, apaise immédiatement et assainit la peau. Sa formule haute tolérance, sans parfum, sans savon et biodégradable, respecte l’équilibre cutané et convient aux nourrissons, enfants et adultes.",Standard,2025-11-24
5772,"ADERMAFluide anti-imperfections anti-marques ""BIOLOGY AC PERFECT"" 40ML","54,900TND",54.9,,,0.0,https://beautystore.tn/soin-hydratant-specifique/5772-fluide-anti-imperfections-anti-marques-biology-ac-perfect-40ml-3282770388886.html,https://beautystore.tn/24579-home_default/fluide-anti-imperfections-anti-marques-biology-ac-perfect-40ml.jpg,https://beautystore.tn/24579-large_default/fluide-anti-imperfections-anti-marques-biology-ac-perfect-40ml.jpg,"Le Fluide Anti-Imperfections Anti-Marques Biology AC Perfect est un soin dermatologique complet conçu pour les peaux à tendance acnéique. Grâce à sa formule innovante à 99% d’ingrédients d’origine naturelle, il cible les boutons, points noirs et marques résiduelles tout en prévenant leur réapparition. Sa texture fluide, légère et non comédogène pénètre rapidement, laissant un fini mat et confortable.",Standard,2025-11-24
5771,"ADERMAGel moussant nettoyant purifiant ""BIOLOGY AC"" 400ML","69,900TND",69.9,,,0.0,https://beautystore.tn/demaquillant-nettoyant/5771-gel-moussant-nettoyant-purifiant-biology-ac-400ml-3282770153002.html,https://beautystore.tn/24563-home_default/gel-moussant-nettoyant-purifiant-biology-ac-400ml.jpg,https://beautystore.tn/24563-large_default/gel-moussant-nettoyant-purifiant-biology-ac-400ml.jpg,"Le Gel Moussant Nettoyant Purifiant Biology AC est un nettoyant dermatologique certifié BIO conçu pour les peaux grasses à tendance acnéique. Sa formule à 99% d’ingrédients d’origine naturelle nettoie la peau en douceur sans la dessécher, désincruste les pores et élimine les impuretés, tout en préservant le microbiote cutané.",Standard,2025-11-24
5768,"ADERMASoin matifiant anti-imperfections ""BIOLOGY AC GLOBAL"" 40ML","49,900TND",49.9,,,0.0,https://beautystore.tn/soin-hydratant-specifique/5768-soin-matifiant-anti-imperfections-biology-ac-global-40ml-3282770388916.html,https://beautystore.tn/24535-home_default/soin-matifiant-anti-imperfections-biology-ac-global-40ml.jpg,https://beautystore.tn/24535-large_default/soin-matifiant-anti-imperfections-biology-ac-global-40ml.jpg,"Le Soin Matifiant Anti-Imperfections Biology AC Global est un soin complet conçu pour les peaux à tendance acnéique, dès 9 ans. Il cible efficacement boutons, points noirs et marques résiduelles tout en hydratant et en régulant l’excès de sébum. Sa formule 99% d’origine naturelle renforce la barrière cutanée et protège contre la pollution.",Standard,2025-11-24
