price,type,size,bathroom_count,room_count,location,category,log_price
545000.0,À Vendre,250.0,2.0,8.0,tunis,Maisons et Villas,5.7363965022766426
2800.0,À Louer,80.0,2.0,1.0,tunis,Appartements,3.4471580313422194
950.0,À Louer,100.0,1.0,2.0,tunis,Appartements,2.9777236052888476
2000.0,À Louer,150.0,1.0,4.0,ariana,Bureaux et Plateaux,3.3010299956639813
1500.0,À Louer,100.0,3.0,4.0,nabeul,Appartements,3.1760912590556813
1500.0,À Louer,100.0,1.0,2.0,nabeul,Appartements,3.1760912590556813
1800.0,À Louer,140.0,2.0,3.0,tunis,Bureaux et Plateaux,3.255272505103306
890000.0,À Vendre,340.0,3.0,4.0,nabeul,Maisons et Villas,5.949390006644912
2600.0,À Louer,220.0,2.0,4.0,ariana,Appartements,3.4149733479708178
370000.0,À Vendre,142.0,2.0,2.0,ariana,Appartements,5.568201724066995
1000.0,À Louer,120.0,1.0,2.0,ariana,Appartements,3.0
580000.0,À Vendre,230.0,3.0,4.0,ariana,Appartements,5.763427993562937
395000.0,À Vendre,190.0,3.0,4.0,ariana,Appartements,5.596597095626461
1280.0,À Louer,140.0,2.0,3.0,ariana,Appartements,3.1072099696478683
650000.0,À Vendre,495.0,4.0,8.0,ariana,Maisons et Villas,5.812913356642856
1050000.0,À Vendre,400.0,3.0,4.0,nabeul,Maisons et Villas,6.021189299069938
5500.0,À Louer,1000.0,4.0,5.0,tunis,Maisons et Villas,3.7403626894942437
2200.0,À Louer,200.0,3.0,4.0,tunis,Appartements,3.342422680822206
1200.0,À Louer,120.0,1.0,2.0,tunis,Bureaux et Plateaux,3.0791812460476247
45000.0,À Vendre,25.0,1.0,1.0,tunis,Bureaux et Plateaux,4.653212513775344
2000.0,À Louer,250.0,2.0,4.0,tunis,Maisons et Villas,3.3010299956639813
1550.0,À Louer,180.0,2.0,3.0,tunis,Bureaux et Plateaux,3.1903316981702914
1250.0,À Louer,80.0,1.0,1.0,tunis,Appartements,3.0969100130080562
3500.0,À Louer,220.0,3.0,3.0,tunis,Appartements,3.5440680443502757
3225.0,À Louer,129.0,4.0,4.0,tunis,Bureaux et Plateaux,3.5085297189712867
320000.0,À Vendre,114.0,2.0,3.0,tunis,Appartements,5.505149978319906
1300.0,À Louer,120.0,1.0,3.0,tunis,Bureaux et Plateaux,3.113943352306837
3500.0,À Louer,350.0,1.0,5.0,tunis,Bureaux et Plateaux,3.5440680443502757
950.0,À Louer,100.0,1.0,2.0,ben arous,Appartements,2.9777236052888476
550.0,À Louer,22.0,1.0,1.0,tunis,Bureaux et Plateaux,2.7403626894942437
1700.0,À Louer,90.0,1.0,4.0,monastir,Bureaux et Plateaux,3.230448921378274
380000.0,À Vendre,100.0,2.0,3.0,sousse,Appartements,5.57978359661681
2200.0,À Louer,80.0,1.0,3.0,ariana,Bureaux et Plateaux,3.342422680822206
900.0,À Louer,80.0,1.0,1.0,ariana,Appartements,2.9542425094393248
190000.0,À Vendre,115.0,1.0,3.0,ariana,Appartements,5.278753600952829
110.0,À Louer,75.0,1.0,1.0,tunis,Appartements,2.041392685158225
265000.0,À Vendre,97.0,1.0,2.0,tunis,Maisons et Villas,5.423245873936808
250000.0,À Vendre,72.0,1.0,1.0,nabeul,Appartements,5.3979400086720375
260000.0,À Vendre,120.0,2.0,2.0,bizerte,Appartements,5.414973347970818
225000.0,À Vendre,80.0,1.0,1.0,sousse,Appartements,5.352182518111363
320000.0,À Vendre,131.0,2.0,4.0,tunis,Appartements,5.505149978319906
193000.0,À Vendre,56.0,1.0,1.0,sousse,Bureaux et Plateaux,5.285557309007774
380000.0,À Vendre,150.0,2.0,3.0,ariana,Maisons et Villas,5.57978359661681
205000.0,À Vendre,127.0,1.0,3.0,tunis,Appartements,5.311753861055754
410000.0,À Vendre,165.0,2.0,2.0,sousse,Appartements,5.6127838567197355
350000.0,À Vendre,143.0,2.0,3.0,sousse,Appartements,5.544068044350276
253800.0,À Vendre,116.0,1.0,1.0,sousse,Appartements,5.404491617758686
2100.0,À Louer,250.0,2.0,5.0,ariana,Appartements,3.322219294733919
6400.0,À Louer,600.0,6.0,14.0,tunis,Bureaux et Plateaux,3.806179973983887
